species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
海鲂,1,海鲂,36,25,0,11,0,69.4,0.0,30.6,220.54,5543.6,3416.2,.jpg:35; .bmp:1
牡锦灯鱼,3,2017269-271牡锦灯鱼 | 2018071牡锦灯鱼 | 牡锦灯鱼,36,36,0,0,0,100.0,0.0,0.0,134.63,5002.2,3411.8,.jpg:36
肩灯鱼属,1,肩灯鱼属,36,36,0,0,0,100.0,0.0,0.0,194.38,5794.7,3784.9,.jpg:36
典型刺虾,1,典型刺虾,35,35,0,0,0,100.0,0.0,0.0,111.65,3737.1,2995.7,.jpg:35
巴西达摩鲨,1,巴西达摩鲨,35,33,2,0,0,94.3,5.7,0.0,253.63,6873.6,4052,.jpg:35
柔毛软颚虾,1,柔毛软颚虾,35,34,0,1,0,97.1,0.0,2.9,117.3,4114.7,3213.9,.jpg:35
红娘鱼,1,红娘鱼,35,29,2,4,0,82.9,5.7,11.4,155.54,5440.5,3292.7,.jpg:35
线口鳗,1,线口鳗,35,33,2,0,0,94.3,5.7,0.0,280.88,7403.9,4384.7,.jpg:35
尖牙鲈,1,尖牙鲈,34,30,0,4,0,88.2,0.0,11.8,214.36,5985.4,3754.3,.jpg:34
斑尾绯鲤,1,斑尾绯鲤,34,34,0,0,0,100.0,0.0,0.0,293.3,8688,4888,.jpg:34
灿烂眶灯鱼,1,灿烂眶灯鱼,34,34,0,0,0,100.0,0.0,0.0,78.27,3820.2,3404.2,.jpg:34
金焰灯笼鱼,1,金焰灯笼鱼,34,34,0,0,0,100.0,0.0,0.0,95.04,4463.5,3060.2,.jpg:34
天纽珍灯鱼,2,2017012天纽珍灯鱼 | 天纽珍灯鱼,33,33,0,0,0,100.0,0.0,0.0,102.86,4385.0,3152.2,.jpg:33
高体电灯鱼,1,高体电灯鱼,33,33,0,0,0,100.0,0.0,0.0,176.36,5437.1,3687.0,.jpg:33
粗短灯笼鱼,1,粗短灯笼鱼,32,32,0,0,0,100.0,0.0,0.0,186.85,5165.5,3553.2,.jpg:32
深海拟野鲈,1,深海拟野鲈,31,29,0,2,0,93.5,0.0,6.5,93.24,3927.7,2959.8,.jpg:29; .bmp:2
丛光鱼,1,丛光鱼,30,28,0,2,0,93.3,0.0,6.7,190.82,6324.3,4180.9,.jpg:30
后肛鱼,1,后肛鱼,30,30,0,0,0,100.0,0.0,0.0,134.6,5064,3561.1,.jpg:30
珠目鱼,1,珠目鱼,30,30,0,0,0,100.0,0.0,0.0,176.88,5221.3,3440,.jpg:30
八斑土佐鲆,1,八斑土佐鲆,29,27,0,2,0,93.1,0.0,6.9,308.37,7956.8,4749.9,.jpg:29
瑞士红鲂鮄,1,瑞士红鲂鮄,29,29,0,0,0,100.0,0.0,0.0,317.74,8688,4950.3,.jpg:29
细额玻璃虾,1,细额玻璃虾,29,29,0,0,0,100.0,0.0,0.0,112.6,3979.0,3229.2,.jpg:29
印明灯鱼,1,印明灯鱼,28,28,0,0,0,100.0,0.0,0.0,96.66,4772.6,3497.1,.jpg:28
孔头鲷,1,孔头鲷,28,28,0,0,0,100.0,0.0,0.0,204.53,6836.6,4265.6,.jpg:28
远东红鲂鮄,1,远东红鲂鮄,28,28,0,0,0,100.0,0.0,0.0,302.15,8688,4888,.jpg:28
叉斑狗母鱼,1,叉斑狗母鱼,27,27,0,0,0,100.0,0.0,0.0,213.32,7960.2,4591.1,.jpg:27
密斑马面鲀,1,密斑马面鲀,27,25,0,2,0,92.6,0.0,7.4,259.11,8127.6,4580.7,.jpg:27
小头乌贼,1,小头乌贼,27,25,0,2,0,92.6,0.0,7.4,107.41,4351.1,3145.4,.jpg:27
眶暗虹灯鱼,1,眶暗虹灯鱼,27,25,2,0,0,92.6,7.4,0.0,41.52,3086.9,2886.6,.jpg:27
线鳗,1,线鳗,27,25,0,2,0,92.6,0.0,7.4,110.02,5153.1,3378.3,.jpg:27
印度齿口鱼,1,印度齿口鱼,26,26,0,0,0,100.0,0.0,0.0,81.85,3962.4,3294.2,.jpg:26
帆鳍鱼,1,帆鳍鱼,26,24,0,2,0,92.3,0.0,7.7,288.23,7415.1,4282.4,.jpg:26
暗光鱼,1,暗光鱼,26,23,3,0,0,88.5,11.5,0.0,64.86,3211.3,3382.2,.jpg:26
深水金线鱼,1,深水金线鱼,26,22,0,4,0,84.6,0.0,15.4,233.1,7449,4181.5,.jpg:24; .bmp:2
眶棘鲈,1,眶棘鲈,26,23,0,3,0,88.5,0.0,11.5,88.96,4185.0,2998,.jpg:24; .jpeg:2
